한전내역번호,한전내역명칭,한전유형,사업영역,코스트센터,전기계약구분,RAPA,(현)한전구매처,지급처,한전고객번호,계량기번호,계량종별,고객구분,450시간초과요금적용여부,주소,한전-빌링주소,한전-관리필드,삭제여부,삭제일,최종지급월,지역본부,통합시설코드,통합시설명,세부사업구분,장비유형,국사구분,통합시설주소,최종서비스종료일,yymm,계량기,계약종별,고객구분.1,계약전력,월사용량,고압요금적용전력,당월사용량_중,당월사용량_최,당월사용량_경,RAPA총사용량,당월최대수요전력,공급가,기타금액,실지급액,450시간초과요금,처리건수,도우미,실사용시작일,실사용종료일,시스템사용량,청구서-시스템,청구서기준,무슨시스템,제외필요,정상여부
ME00178453,검암DK타운LRRUM,M,5100,40244,정액제,없음,1208200052,1208200052,1131438157,,주택용,저압,,인천 서구 검암동 229 - 20,인천광역시 서구 허암길 4,-,,0,202503,인천,20202A2Z1,검암DK타운LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 서구 검암동 229-16번지,0,2409,,주택용,저압,3,216,3,216,0,0,0,0,"32,057","1,020","36,280",0,1,20202A2Z12409,20240815,20240914,702.96759,-486.96759,323%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00178453,검암DK타운LRRUM,M,5100,40244,정액제,없음,1208200052,1208200052,1131438157,,주택용,저압,,인천 서구 검암동 229 - 20,인천광역시 서구 허암길 4,-,,0,202503,인천,20202A2Z1,검암DK타운LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 서구 검암동 229-16번지,0,2412,,주택용,저압,3,216,3,216,0,0,0,0,"32,057","1,020","36,280",0,1,20202A2Z12412,20241115,20241214,681.82443,-465.82443,316%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00178453,검암DK타운LRRUM,M,5100,40244,정액제,없음,1208200052,1208200052,1131438157,,주택용,저압,,인천 서구 검암동 229 - 20,인천광역시 서구 허암길 4,-,,0,202503,인천,20202A2Z1,검암DK타운LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 서구 검암동 229-16번지,0,2410,,주택용,저압,3,216,3,216,0,0,0,0,"32,057","1,020","36,280",0,1,20202A2Z12410,20240915,20241014,679.81942,-463.81942,315%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00178453,검암DK타운LRRUM,M,5100,40244,정액제,없음,1208200052,1208200052,1131438157,,주택용,저압,,인천 서구 검암동 229 - 20,인천광역시 서구 허암길 4,-,,0,202503,인천,20202A2Z1,검암DK타운LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 서구 검암동 229-16번지,0,2408,,주택용,저압,3,216,3,216,0,0,0,0,"32,057","1,020","36,280",0,1,20202A2Z12408,20240715,20240814,677.48966,-461.48966,311%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00197381,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),M,5100,42160,종량제(일반),X,2018230821,2018230821,236716452,PS141929747,일반용갑저압,저압,,경기 화성시 반송동 7 - 1,경기도 화성시동탄반송길 34,SKT-LGU,,0,202502,경기,2023Y0624,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),5G,AAU20-3.5G-32T(SS),,경기 화성시 반송동 7-1번지,0,2412,PS141929747,일반용갑저압,저압,4,143,4,143,0,0,"1,097",0,"35,839",710,"40,133",0,1,2023Y06242412,20241110,20241209,436.4457,-293.4457,305%,5G_EMS,제외필요,점검필요
ME00117281,천호역3LRRU.51.LTE.RRU_L(SS),M,5100,51450,정액제,없음,1208200052,1208200052,150563084,,일반용갑II고압A,고압,,서울 강동구 성내동,서울특별시 강동구 천호대로 1512,-,,0,202503,강남,201335751,천호역3LRRU.51.LTE.RRU_L(SS),LTE,RRU_L(SS),,서울 강동구 성내동 62-4번지,0,2411,,일반용(갑)II고압A / 1,고압,4,483,4,150,82,251,0,0,"85,705","2,740","97,010",0,1,2013357512411,20241015,20241114,1169.09124,-686.09124,303%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00197381,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),M,5100,42160,종량제(일반),X,2018230821,2018230821,236716452,PS141929747,일반용갑저압,저압,,경기 화성시 반송동 7 - 1,경기도 화성시동탄반송길 34,SKT-LGU,,0,202502,경기,2023Y0624,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),5G,AAU20-3.5G-32T(SS),,경기 화성시 반송동 7-1번지,0,2410,PS141929747,일반용갑저압,저압,4,144,4,144,0,0,"1,108",0,"32,070",590,"35,867",0,1,2023Y06242410,20240910,20241009,428.15402,-284.15402,297%,5G_EMS,제외필요,점검필요
ME00197381,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),M,5100,42160,종량제(일반),X,2018230821,2018230821,236716452,PS141929747,일반용갑저압,저압,,경기 화성시 반송동 7 - 1,경기도 화성시동탄반송길 34,SKT-LGU,,0,202502,경기,2023Y0624,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),5G,AAU20-3.5G-32T(SS),,경기 화성시 반송동 7-1번지,0,2408,PS141929747,일반용갑저압,저압,4,151,4,151,0,0,"1,164",0,"38,926",809,"43,628",0,1,2023Y06242408,20240710,20240809,443.42665,-292.42665,293%,5G_EMS,제외필요,점검필요
ME00197381,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),M,5100,42160,종량제(일반),X,2018230821,2018230821,236716452,PS141929747,일반용갑저압,저압,,경기 화성시 반송동 7 - 1,경기도 화성시동탄반송길 34,SKT-LGU,,0,202502,경기,2023Y0624,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),5G,AAU20-3.5G-32T(SS),,경기 화성시 반송동 7-1번지,0,2411,PS141929747,일반용갑저압,저압,4,148,4,148,0,0,"1,137",0,"33,657",640,"37,663",0,1,2023Y06242411,20241010,20241109,451.90155,-303.90155,293%,5G_EMS,제외필요,점검필요
ME00197381,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),M,5100,42160,종량제(일반),X,2018230821,2018230821,236716452,PS141929747,일반용갑저압,저압,,경기 화성시 반송동 7 - 1,경기도 화성시동탄반송길 34,SKT-LGU,,0,202502,경기,2023Y0624,반송동차앤차옥상AAUD_1.51.5G.AAU20-3.5G-32T(SS),5G,AAU20-3.5G-32T(SS),,경기 화성시 반송동 7-1번지,0,2409,PS141929747,일반용갑저압,저압,4,150,4,150,0,0,"1,154",0,"37,016",749,"41,467",0,1,2023Y06242409,20240810,20240909,440.41191,-290.41191,290%,5G_EMS,제외필요,점검필요
